Transaction ID,Date,Amount,Category,Description,Account Number,Vendor,Payment Method,Status,Anomaly Flag,Risk Score,Notes
TX-A10014,2024-05-07,25000.00,Revenue,Private event booking,7890-1234-5678-9012,Gift Card Sales,Wire Transfer,Completed,1,65,Unusually high single revenue transaction
TX-A10015,2024-03-15,-5000.00,Office Supplies,Petty cash replenishment,1234-5678-9012-3456,Cash Withdrawal,Cash,Completed,1,90,Unusually large cash withdrawal
TX-A10016,2024-01-28,-1875.50,Beverage Supplies,Emergency beverage order,1234-5678-9012-3456,Coca-Cola Bottling,Credit Card,Completed,1,60,Transaction processed Sunday at 11:45 PM
TX-A10017,2024-06-12,-2850.00,Maintenance,Quarterly maintenance service - Invoice #SRV-2456,2345-6789-0123-4567,CleanSweep Services,EFT,Completed,1,70,Similar invoice number to previous transaction (was SRV-2546)
TX-A10018,2024-04-19,-2175.00,Marketing,Staff party expenses,3456-7890-1234-5678,Sign Experts,Credit Card,Completed,1,60,Likely miscategorized - should be Staff Expenses not Marketing
TX-A10019,2024-02-08,-3450.00,Equipment,Kitchen equipment parts,1234-5678-9012-3456,Restaurant Equipment Depo,Wire Transfer,Completed,1,95,Vendor name similar but not identical to approved vendor 'Restaurant Equipment Depot'
TX-A10020,2024-06-07,350.00,Revenue,Daily sales revenue,7890-1234-5678-9012,Daily Sales,Multiple,Completed,1,75,Revenue 90% lower than typical Friday
TX-A10021,2024-03-05,-1850.00,Professional Services,Tax preparation services,3456-7890-1234-5678,Waterloo Accounting Group,EFT,Completed,1,65,Invoice dated March 5 for services to be rendered April 10
TX-A10022,2024-05-30,-2750.00,Food Supplies,Monthly food inventory,1234-5678-9012-3456,Staples Business,EFT,Completed,1,80,Unusual vendor for food supplies category
TX-A10023,2024-01-17,-2350.00,Maintenance,Refrigeration system repair,1234-5678-9012-3456,Ontario HVAC Services,Credit Card,Voided,0,10,Voided transaction
TX-A10024,2024-01-17,-2350.00,Maintenance,Refrigeration system repair,1234-5678-9012-3456,Ontario HVAC Services,Credit Card,Completed,1,75,Reprocessed voided transaction same day
TX-A10025,2024-04-22,1875.00,Equipment,Refund for equipment purchase,7890-1234-5678-9012,KitchenAid Commercial,Credit Card,Completed,1,70,Refund with no corresponding original purchase
TX-110000,2024-05-24,-1392.00,Delivery Services,Delivery Services expense,3456-7890-1234-5678,SkipTheDishes,EFT,Completed,0,38,
TX-110001,2024-06-09,-693.00,Professional Services,Professional Services expense,1234-5678-9012-3456,HR Solutions Inc.,Check,Completed,0,22,
TX-110002,2024-04-01,-745.00,POS System,POS System expense,1234-5678-9012-3456,Clover POS,Cash,Completed,0,19,
TX-110003,2024-04-05,-1277.00,Professional Services,Professional Services expense,2345-6789-0123-4567,Waterloo Accounting Group,Credit Card,Completed,0,21,
TX-110004,2024-06-10,-1446.00,Office Supplies,Office Supplies expense,3456-7890-1234-5678,Grand & Toy,Debit,Completed,0,31,
